Run Model Entity Position Sim
1 1 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 2 0.927
1 1 en.wikipedia.org/wiki..Themistocles.txt 42 0.825
1 1 en.wikipedia.org/wiki..Thespiae.txt 177 0.664
1 1 en.wikipedia.org/wiki..Sparta.txt 194 0.642
1 1 en.wikipedia.org/wiki..Battle_of_Marathon.txt 4 0.915
1 1 en.wikipedia.org/wiki..Darius_I.txt 58 0.805
1 1 en.wikipedia.org/wiki..Leonidas_I.txt 13 0.886
1 1 en.wikipedia.org/wiki..Xerxes_I.txt 21 0.862
1 1 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 16 0.872
1 1 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 11 0.89
2 1 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 1 0.928
2 1 en.wikipedia.org/wiki..Themistocles.txt 35 0.829
2 1 en.wikipedia.org/wiki..Thespiae.txt 217 0.628
2 1 en.wikipedia.org/wiki..Sparta.txt 203 0.644
2 1 en.wikipedia.org/wiki..Battle_of_Marathon.txt 5 0.917
2 1 en.wikipedia.org/wiki..Darius_I.txt 55 0.801
2 1 en.wikipedia.org/wiki..Leonidas_I.txt 7 0.902
2 1 en.wikipedia.org/wiki..Xerxes_I.txt 21 0.857
2 1 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 34 0.834
2 1 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 11 0.899
3 1 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 2 0.907
3 1 en.wikipedia.org/wiki..Themistocles.txt 49 0.794
3 1 en.wikipedia.org/wiki..Thespiae.txt 181 0.649
3 1 en.wikipedia.org/wiki..Sparta.txt 229 0.606
3 1 en.wikipedia.org/wiki..Battle_of_Marathon.txt 7 0.894
3 1 en.wikipedia.org/wiki..Darius_I.txt 64 0.777
3 1 en.wikipedia.org/wiki..Leonidas_I.txt 9 0.891
3 1 en.wikipedia.org/wiki..Xerxes_I.txt 23 0.849
3 1 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 25 0.843
3 1 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 11 0.887
4 1 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 2 0.909
4 1 en.wikipedia.org/wiki..Themistocles.txt 36 0.817
4 1 en.wikipedia.org/wiki..Thespiae.txt 227 0.601
4 1 en.wikipedia.org/wiki..Sparta.txt 221 0.608
4 1 en.wikipedia.org/wiki..Battle_of_Marathon.txt 3 0.906
4 1 en.wikipedia.org/wiki..Darius_I.txt 44 0.804
4 1 en.wikipedia.org/wiki..Leonidas_I.txt 7 0.899
4 1 en.wikipedia.org/wiki..Xerxes_I.txt 18 0.859
4 1 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 27 0.844
4 1 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 11 0.888
5 1 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 2 0.923
5 1 en.wikipedia.org/wiki..Themistocles.txt 48 0.788
5 1 en.wikipedia.org/wiki..Thespiae.txt 169 0.659
5 1 en.wikipedia.org/wiki..Sparta.txt 184 0.646
5 1 en.wikipedia.org/wiki..Battle_of_Marathon.txt 7 0.896
5 1 en.wikipedia.org/wiki..Darius_I.txt 56 0.778
5 1 en.wikipedia.org/wiki..Leonidas_I.txt 10 0.884
5 1 en.wikipedia.org/wiki..Xerxes_I.txt 33 0.823
5 1 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 16 0.869
5 1 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 12 0.879
6 1 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 2 0.911
6 1 en.wikipedia.org/wiki..Themistocles.txt 67 0.766
6 1 en.wikipedia.org/wiki..Thespiae.txt 136 0.695
6 1 en.wikipedia.org/wiki..Sparta.txt 218 0.61
6 1 en.wikipedia.org/wiki..Battle_of_Marathon.txt 5 0.892
6 1 en.wikipedia.org/wiki..Darius_I.txt 62 0.773
6 1 en.wikipedia.org/wiki..Leonidas_I.txt 11 0.869
6 1 en.wikipedia.org/wiki..Xerxes_I.txt 27 0.83
6 1 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 29 0.827
6 1 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 10 0.876
1 2 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 3 0.931
1 2 en.wikipedia.org/wiki..Themistocles.txt 31 0.858
1 2 en.wikipedia.org/wiki..Thespiae.txt 160 0.691
1 2 en.wikipedia.org/wiki..Sparta.txt 193 0.661
1 2 en.wikipedia.org/wiki..Battle_of_Marathon.txt 7 0.923
1 2 en.wikipedia.org/wiki..Darius_I.txt 82 0.782
1 2 en.wikipedia.org/wiki..Leonidas_I.txt 11 0.91
1 2 en.wikipedia.org/wiki..Xerxes_I.txt 22 0.873
1 2 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 33 0.856
1 2 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 10 0.913
2 2 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 5 0.932
2 2 en.wikipedia.org/wiki..Themistocles.txt 40 0.844
2 2 en.wikipedia.org/wiki..Thespiae.txt 157 0.69
2 2 en.wikipedia.org/wiki..Sparta.txt 171 0.677
2 2 en.wikipedia.org/wiki..Battle_of_Marathon.txt 3 0.936
2 2 en.wikipedia.org/wiki..Darius_I.txt 85 0.773
2 2 en.wikipedia.org/wiki..Leonidas_I.txt 10 0.912
2 2 en.wikipedia.org/wiki..Xerxes_I.txt 31 0.856
2 2 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 29 0.858
2 2 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 9 0.924
3 2 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 1 0.941
3 2 en.wikipedia.org/wiki..Themistocles.txt 55 0.809
3 2 en.wikipedia.org/wiki..Thespiae.txt 130 0.712
3 2 en.wikipedia.org/wiki..Sparta.txt 164 0.68
3 2 en.wikipedia.org/wiki..Battle_of_Marathon.txt 12 0.907
3 2 en.wikipedia.org/wiki..Darius_I.txt 70 0.784
3 2 en.wikipedia.org/wiki..Leonidas_I.txt 9 0.916
3 2 en.wikipedia.org/wiki..Xerxes_I.txt 24 0.86
3 2 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 31 0.85
